entry_type,status,ring,pillar,priority,source_url,search_query,creator_handle,creator_name,language,region,visible_hook,why_it_fits,watch_action,comment_direction,risk_notes,added_on,last_reviewed
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=seeker%20trap,seeker trap,,,en,,Seeking as identity,Find videos where the path itself has become the hiding place,watch_full,The seeker can wear the desire to stop seeking,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=tired%20of%20seeking,tired of seeking,,,en,,Spiritual exhaustion,Core wound for Anky positioning,watch_full,Sometimes understanding becomes the final delay,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=spiritual%20seeker,spiritual seeker,,,en,,Seeker identity,Useful when videos question the identity instead of romanticizing it,watch_full,Seeking becomes safe when seeing would change your life,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=nonduality,nonduality,,,en,,Direct path audience,Sharpest overlap when content avoids performance,watch_full,The pointer becomes entertainment when nothing is risked,Watch for guru cosplay,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=advaita,advaita,,,en,,Advaita audience,Find Ramana/Nisargadatta/direct experience clips,watch_full,The one looking for the end of seeking is made of seeking,Watch for quote-farm accounts,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Ramana%20Maharshi,Ramana Maharshi,,,en,,Self-inquiry source,Core audience recognizes Who am I language,watch_full,Look at the one who wants the answer,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Nisargadatta,Nisargadatta,,,en,,I Am That audience,Strong direct-path overlap,watch_full,Sometimes I understand is the final hiding place,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=I%20Am%20That,I Am That,,,en,,Nisargadatta quote cluster,Core direct-path audience,watch_full,The mirror is not impressed by spiritual vocabulary,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Rupert%20Spira,Rupert Spira,,,en,,Awareness/direct experience,Find serious direct experience conversations,watch_full,You can use wisdom to avoid truth,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Francis%20Lucille,Francis Lucille,,,en,,Direct path teacher clips,High-value but likely smaller pool,watch_full,The path becomes real when it stops giving you identity,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Swami%20Sarvapriyananda,Swami Sarvapriyananda,,,en,,Vedanta audience,Serious spiritual study audience,watch_full,The explanation is not the encounter,,2026-06-04,
search,candidate,ring_1,seeker_trap,1,https://www.tiktok.com/search?q=Who%20am%20I%20self%20inquiry,Who am I self inquiry,,,en,,Self-inquiry,Direct match to Anky as action-based inquiry,watch_full,Who is trying to control the sentence,,2026-06-04,
search,candidate,ring_1,seeker_trap,2,https://www.tiktok.com/search?q=pathless%20path,pathless path,,,en,,Pathless path language,Good if it cuts through identity,watch_full,The pathless path cannot become your brand without disappearing,,2026-06-04,
search,candidate,ring_1,seeker_trap,2,https://www.tiktok.com/search?q=direct%20experience%20spirituality,direct experience spirituality,,,en,,Experience over theory,Find posts that point away from explanation,watch_full,A pointer is useful only when it returns you to what is here,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=meditation%20retreat%20integration,meditation retreat integration,,,en,,Post-retreat integration,Serious practitioners beyond beginner wellness,watch_full,Practice becomes real when it removes performance,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=dark%20night%20meditation,dark night meditation,,,en,,Practice difficulty,Find non-aesthetic practice fatigue,watch_full,Silence is brutal because there is nowhere to edit yourself,,2026-06-04,
search,candidate,ring_1,practice_fatigue,2,https://www.tiktok.com/search?q=vipassana%20retreat%20experience,vipassana retreat experience,,,en,,Retreat/practice audience,Useful if sober and embodied,watch_full,The posture is not the point. The hiding is,,2026-06-04,
search,candidate,ring_2,marketplace_critique,1,https://www.tiktok.com/search?q=spiritual%20ego,spiritual ego,,,en,,Ego in spiritual costume,Core anti-performance target,watch_full,Spiritual ego survives by sounding humble,,2026-06-04,
